지역명,연도,월,평당분양가격,전용면적
울산,2016.0,2.0,10074.9,60㎡~85㎡
울산,2016.0,2.0,8787.9,85㎡~102㎡
울산,2016.0,2.0,9484.199999999999,102㎡~
세종,2016.0,2.0,8794.5,모든면적
세종,2016.0,2.0,8583.3,60㎡
세종,2016.0,2.0,8830.8,60㎡~85㎡
세종,2016.0,2.0,8781.3,85㎡~102㎡
세종,2016.0,2.0,9081.6,102㎡~
강원,2016.0,2.0,7170.9,모든면적
강원,2016.0,2.0,7557.0,60㎡
강원,2016.0,2.0,7260.0,60㎡~85㎡
강원,2016.0,2.0,7755.0,102㎡~
충북,2016.0,2.0,6626.4,모든면적
충북,2016.0,2.0,6441.599999999999,60㎡
충북,2016.0,2.0,6669.299999999999,60㎡~85㎡
충북,2016.0,2.0,7510.799999999999,85㎡~102㎡
충북,2016.0,2.0,7461.299999999999,102㎡~
충남,2016.0,2.0,7497.599999999999,모든면적
충남,2016.0,2.0,8236.8,60㎡
충남,2016.0,2.0,7530.599999999999,60㎡~85㎡
충남,2016.0,2.0,8385.3,85㎡~102㎡
충남,2016.0,2.0,8065.2,102㎡~
전북,2016.0,2.0,6534.0,모든면적
전북,2016.0,2.0,6296.4,60㎡
전북,2016.0,2.0,6557.099999999999,60㎡~85㎡
전북,2016.0,2.0,7844.099999999999,85㎡~102㎡
전북,2016.0,2.0,7533.9,102㎡~
전남,2016.0,2.0,6345.9,모든면적
전남,2016.0,2.0,6596.7,60㎡
전남,2016.0,2.0,6339.299999999999,60㎡~85㎡
전남,2016.0,2.0,7464.599999999999,85㎡~102㎡
전남,2016.0,2.0,7180.799999999999,102㎡~
경북,2016.0,2.0,7190.7,모든면적
경북,2016.0,2.0,7167.599999999999,60㎡
경북,2016.0,2.0,7230.299999999999,60㎡~85㎡
경북,2016.0,2.0,8355.6,85㎡~102㎡
경북,2016.0,2.0,7741.799999999999,102㎡~
경남,2016.0,2.0,7781.4,모든면적
경남,2016.0,2.0,7791.299999999999,60㎡
경남,2016.0,2.0,7837.5,60㎡~85㎡
경남,2016.0,2.0,9652.5,85㎡~102㎡
경남,2016.0,2.0,8820.9,102㎡~
제주,2016.0,2.0,7484.4,모든면적
제주,2016.0,2.0,7458.0,60㎡~85㎡
제주,2016.0,2.0,8523.9,85㎡~102㎡
제주,2016.0,2.0,8494.199999999999,102㎡~
서울,2016.0,3.0,20370.899999999998,모든면적
서울,2016.0,3.0,21615.0,60㎡
서울,2016.0,3.0,20219.1,60㎡~85㎡
서울,2016.0,3.0,23690.699999999997,85㎡~102㎡
서울,2016.0,3.0,21024.3,102㎡~
인천,2016.0,3.0,10527.0,모든면적
인천,2016.0,3.0,10965.9,60㎡
인천,2016.0,3.0,10266.3,60㎡~85㎡
인천,2016.0,3.0,11698.5,85㎡~102㎡
인천,2016.0,3.0,11246.4,102㎡~
경기,2016.0,3.0,10609.5,모든면적
경기,2016.0,3.0,11355.3,60㎡
경기,2016.0,3.0,10754.699999999999,60㎡~85㎡
경기,2016.0,3.0,11097.9,85㎡~102㎡
경기,2016.0,3.0,12144.0,102㎡~
부산,2016.0,3.0,10487.4,모든면적
부산,2016.0,3.0,9738.3,60㎡
부산,2016.0,3.0,10236.599999999999,60㎡~85㎡
부산,2016.0,3.0,9758.1,85㎡~102㎡
부산,2016.0,3.0,12299.099999999999,102㎡~
대구,2016.0,3.0,10292.699999999999,모든면적
대구,2016.0,3.0,11025.3,60㎡
대구,2016.0,3.0,10408.199999999999,60㎡~85㎡
대구,2016.0,3.0,8378.699999999999,85㎡~102㎡
대구,2016.0,3.0,9051.9,102㎡~
광주,2016.0,3.0,8547.0,모든면적
광주,2016.0,3.0,8151.0,60㎡
광주,2016.0,3.0,8583.3,60㎡~85㎡
대전,2016.0,3.0,8098.2,모든면적
대전,2016.0,3.0,8530.5,60㎡
대전,2016.0,3.0,8012.4,60㎡~85㎡
대전,2016.0,3.0,8121.299999999999,85㎡~102㎡
울산,2016.0,3.0,10117.8,모든면적
울산,2016.0,3.0,8527.199999999999,60㎡
울산,2016.0,3.0,10147.5,60㎡~85㎡
울산,2016.0,3.0,8787.9,85㎡~102㎡
울산,2016.0,3.0,10088.1,102㎡~
세종,2016.0,3.0,8811.0,모든면적
세종,2016.0,3.0,8583.3,60㎡
세종,2016.0,3.0,8847.3,60㎡~85㎡
세종,2016.0,3.0,8811.0,85㎡~102㎡
세종,2016.0,3.0,9081.6,102㎡~
강원,2016.0,3.0,7240.2,모든면적
강원,2016.0,3.0,7421.7,60㎡
강원,2016.0,3.0,7329.299999999999,60㎡~85㎡
강원,2016.0,3.0,7755.0,102㎡~
충북,2016.0,3.0,6534.0,모든면적
충북,2016.0,3.0,6352.5,60㎡
충북,2016.0,3.0,6669.299999999999,60㎡~85㎡
충북,2016.0,3.0,7510.799999999999,85㎡~102㎡
충북,2016.0,3.0,7461.299999999999,102㎡~
충남,2016.0,3.0,6979.5,모든면적
충남,2016.0,3.0,7345.799999999999,60㎡
충남,2016.0,3.0,6976.2,60㎡~85㎡
충남,2016.0,3.0,8385.3,85㎡~102㎡
충남,2016.0,3.0,8065.2,102㎡~
전북,2016.0,3.0,6438.299999999999,모든면적
전북,2016.0,3.0,6303.0,60㎡
전북,2016.0,3.0,6464.7,60㎡~85㎡
전북,2016.0,3.0,7487.7,85㎡~102㎡
전북,2016.0,3.0,7566.9,102㎡~
전남,2016.0,3.0,6339.299999999999,모든면적
전남,2016.0,3.0,6606.599999999999,60㎡
전남,2016.0,3.0,6332.7,60㎡~85㎡
전남,2016.0,3.0,7464.599999999999,85㎡~102㎡
전남,2016.0,3.0,7180.799999999999,102㎡~
경북,2016.0,3.0,7190.7,모든면적
경북,2016.0,3.0,7170.9,60㎡
경북,2016.0,3.0,7230.299999999999,60㎡~85㎡
경북,2016.0,3.0,8827.5,85㎡~102㎡
경북,2016.0,3.0,7636.2,102㎡~
경남,2016.0,3.0,7863.9,모든면적
경남,2016.0,3.0,7807.799999999999,60㎡
경남,2016.0,3.0,7893.599999999999,60㎡~85㎡
경남,2016.0,3.0,10074.9,85㎡~102㎡
경남,2016.0,3.0,8728.5,102㎡~
제주,2016.0,3.0,7636.2,모든면적
제주,2016.0,3.0,7636.2,60㎡~85㎡
서울,2016.0,4.0,20595.3,모든면적
서울,2016.0,4.0,21839.399999999998,60㎡
서울,2016.0,4.0,20446.8,60㎡~85㎡
서울,2016.0,4.0,26716.8,85㎡~102㎡
서울,2016.0,4.0,20964.899999999998,102㎡~
인천,2016.0,4.0,10685.4,모든면적
인천,2016.0,4.0,10965.9,60㎡
인천,2016.0,4.0,10385.099999999999,60㎡~85㎡
인천,2016.0,4.0,11698.5,85㎡~102㎡
인천,2016.0,4.0,15968.699999999999,102㎡~
경기,2016.0,4.0,10556.699999999999,모든면적
경기,2016.0,4.0,11220.0,60㎡
경기,2016.0,4.0,10701.9,60㎡~85㎡
경기,2016.0,4.0,11203.5,85㎡~102㎡
경기,2016.0,4.0,11916.3,102㎡~
부산,2016.0,4.0,10457.699999999999,모든면적
부산,2016.0,4.0,9810.9,60㎡
부산,2016.0,4.0,10187.099999999999,60㎡~85㎡
부산,2016.0,4.0,9669.0,85㎡~102㎡
부산,2016.0,4.0,12299.099999999999,102㎡~
대구,2016.0,4.0,10335.599999999999,모든면적
대구,2016.0,4.0,11025.3,60㎡
대구,2016.0,4.0,10454.4,60㎡~85㎡
대구,2016.0,4.0,8378.699999999999,85㎡~102㎡
대구,2016.0,4.0,9051.9,102㎡~
광주,2016.0,4.0,8910.0,모든면적
광주,2016.0,4.0,8580.0,60㎡
광주,2016.0,4.0,8896.8,60㎡~85㎡
광주,2016.0,4.0,9088.199999999999,85㎡~102㎡
광주,2016.0,4.0,11609.4,102㎡~
대전,2016.0,4.0,8081.7,모든면적
대전,2016.0,4.0,8345.699999999999,60㎡
대전,2016.0,4.0,8002.5,60㎡~85㎡
울산,2016.0,4.0,10137.599999999999,모든면적
울산,2016.0,4.0,8533.8,60㎡
울산,2016.0,4.0,10150.8,60㎡~85㎡
울산,2016.0,4.0,8787.9,85㎡~102㎡
울산,2016.0,4.0,9791.1,102㎡~
세종,2016.0,4.0,8844.0,모든면적
세종,2016.0,4.0,8764.8,60㎡
세종,2016.0,4.0,8906.699999999999,60㎡~85㎡
세종,2016.0,4.0,8758.199999999999,85㎡~102㎡
세종,2016.0,4.0,8956.199999999999,102㎡~
강원,2016.0,4.0,7062.0,모든면적
강원,2016.0,4.0,7071.9,60㎡
강원,2016.0,4.0,7203.9,60㎡~85㎡
강원,2016.0,4.0,7755.0,102㎡~
충북,2016.0,4.0,6494.4,모든면적
충북,2016.0,4.0,6319.5,60㎡
충북,2016.0,4.0,6633.0,60㎡~85㎡
